epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
95,4634.98,0.94867,1.61087,0.29321,0.01172,0.60058,0.51273,0.55036,0.5186,0.42917,0.49129,0.53709,0.51096,0.39373,0.95707,1.72302,0.28915,0.01256,0,6.735e-06,6.735e-06,6.735e-05,6.735e-05,6.735e-05
96,4683.68,0.96335,1.63672,0.29424,0.0118,0.59279,0.50584,0.54906,0.51798,0.42985,0.49341,0.53585,0.51102,0.39358,0.95087,1.75155,0.29067,0.01235,0,6.4875e-06,6.4875e-06,6.4875e-05,6.4875e-05,6.4875e-05
97,4732.36,0.96413,1.61674,0.29215,0.01204,0.59833,0.50078,0.55105,0.51814,0.42727,0.48762,0.54099,0.51175,0.39311,0.95027,1.75296,0.29306,0.01238,0,6.24e-06,6.24e-06,6.24e-05,6.24e-05,6.24e-05
98,4781,0.96032,1.63059,0.2936,0.01163,0.5927,0.51055,0.54626,0.51691,0.42799,0.4922,0.53336,0.51026,0.39208,0.95688,1.72276,0.29064,0.01261,0,5.9925e-06,5.9925e-06,5.9925e-05,5.9925e-05,5.9925e-05
99,4829.77,0.95451,1.6223,0.28993,0.01167,0.5896,0.50331,0.53945,0.5181,0.4288,0.48773,0.5333,0.51068,0.39362,0.95616,1.71458,0.28759,0.01265,0,5.745e-06,5.745e-06,5.745e-05,5.745e-05,5.745e-05
100,4878.3,0.96439,1.64056,0.29525,0.01185,0.59281,0.50214,0.54717,0.51691,0.42985,0.49074,0.52959,0.5103,0.39131,0.95737,1.72479,0.28561,0.01246,0,5.4975e-06,5.4975e-06,5.4975e-05,5.4975e-05,5.4975e-05
101,4926.83,0.95404,1.639,0.29369,0.01177,0.60385,0.49357,0.52939,0.51739,0.43029,0.49307,0.52517,0.51111,0.39287,0.95303,1.72704,0.28691,0.01262,0,5.25e-06,5.25e-06,5.25e-05,5.25e-05,5.25e-05
102,4975.5,0.95443,1.62378,0.29222,0.01179,0.60411,0.48722,0.53869,0.51723,0.42987,0.48778,0.52529,0.51026,0.3927,0.95526,1.72668,0.28832,0.01242,0,5.0025e-06,5.0025e-06,5.0025e-05,5.0025e-05,5.0025e-05
103,5024.04,0.946,1.64875,0.30208,0.01181,0.60211,0.50775,0.545,0.51884,0.42809,0.49129,0.52912,0.51108,0.39189,0.96074,1.72089,0.28399,0.01257,0,4.755e-06,4.755e-06,4.755e-05,4.755e-05,4.755e-05
104,5072.45,0.9586,1.62688,0.29277,0.0118,0.59745,0.48623,0.53938,0.51635,0.42618,0.49253,0.53636,0.50996,0.39099,0.96325,1.70961,0.28448,0.01264,0,4.5075e-06,4.5075e-06,4.5075e-05,4.5075e-05,4.5075e-05
105,5120.84,0.94918,1.61795,0.29382,0.01168,0.59206,0.5175,0.54222,0.5194,0.43085,0.49236,0.5357,0.51095,0.39364,0.95181,1.7199,0.28731,0.01246,0,4.26e-06,4.26e-06,4.26e-05,4.26e-05,4.26e-05
106,5169.4,0.96008,1.6467,0.29184,0.01172,0.58734,0.50864,0.55058,0.51964,0.42969,0.48654,0.53441,0.51022,0.39292,0.95373,1.72726,0.28684,0.01244,0,4.0125e-06,4.0125e-06,4.0125e-05,4.0125e-05,4.0125e-05
107,5217.74,0.95214,1.6205,0.28823,0.01173,0.59196,0.47268,0.55381,0.5177,0.43058,0.48509,0.53643,0.5114,0.39354,0.95559,1.71452,0.28613,0.01247,0,3.765e-06,3.765e-06,3.765e-05,3.765e-05,3.765e-05
108,5266.16,0.95702,1.6288,0.29055,0.01175,0.59279,0.48647,0.5492,0.52012,0.43166,0.49305,0.54206,0.51277,0.39326,0.95357,1.71691,0.28683,0.01248,0,3.5175e-06,3.5175e-06,3.5175e-05,3.5175e-05,3.5175e-05
109,5314.58,0.9608,1.6204,0.28964,0.01181,0.58787,0.49561,0.54519,0.5195,0.43014,0.49901,0.53554,0.51056,0.39271,0.96161,1.7115,0.2857,0.01262,0,3.27e-06,3.27e-06,3.27e-05,3.27e-05,3.27e-05
110,5363.04,0.96502,1.62593,0.29158,0.01191,0.59601,0.51352,0.54755,0.52138,0.43156,0.4879,0.53299,0.51369,0.39493,0.95562,1.70972,0.28544,0.01257,0,3.0225e-06,3.0225e-06,3.0225e-05,3.0225e-05,3.0225e-05
111,5411.48,0.95835,1.63418,0.28816,0.01171,0.58703,0.48936,0.54701,0.52029,0.43064,0.49062,0.53961,0.5125,0.39479,0.95486,1.7232,0.28737,0.01247,0,2.775e-06,2.775e-06,2.775e-05,2.775e-05,2.775e-05
112,5459.9,0.9541,1.63094,0.29052,0.01174,0.59492,0.51006,0.54528,0.51915,0.42937,0.50963,0.54057,0.51283,0.39454,0.95566,1.70653,0.28788,0.01249,0,2.5275e-06,2.5275e-06,2.5275e-05,2.5275e-05,2.5275e-05
113,5508.36,0.963,1.63937,0.29045,0.01169,0.59643,0.49959,0.55038,0.51949,0.42935,0.48935,0.53332,0.512,0.39364,0.95296,1.72302,0.28699,0.01244,0,2.28e-06,2.28e-06,2.28e-05,2.28e-05,2.28e-05
114,5556.76,0.96352,1.61518,0.28901,0.01189,0.58689,0.50714,0.54741,0.52015,0.43301,0.49152,0.53831,0.51351,0.39396,0.95271,1.72042,0.28621,0.01235,0,2.0325e-06,2.0325e-06,2.0325e-05,2.0325e-05,2.0325e-05
115,5605.21,0.95945,1.63023,0.2885,0.0118,0.60095,0.48829,0.55193,0.52032,0.43008,0.48927,0.53098,0.51246,0.39464,0.95649,1.72031,0.28642,0.01248,0,1.785e-06,1.785e-06,1.785e-05,1.785e-05,1.785e-05
116,5653.74,0.96065,1.62696,0.28722,0.01187,0.58617,0.48376,0.54504,0.51991,0.42984,0.49045,0.53787,0.51128,0.39454,0.95271,1.71259,0.2866,0.01244,0,1.5375e-06,1.5375e-06,1.5375e-05,1.5375e-05,1.5375e-05
117,5702.44,0.94531,1.60905,0.28725,0.0114,0.58597,0.48113,0.54116,0.51908,0.42904,0.48989,0.53506,0.51143,0.39416,0.95867,1.71202,0.28498,0.01256,0,1.29e-06,1.29e-06,1.29e-05,1.29e-05,1.29e-05
118,5751.05,0.94978,1.61884,0.29575,0.01181,0.59603,0.49067,0.54269,0.52049,0.43034,0.4929,0.53687,0.51345,0.3933,0.95314,1.70396,0.28761,0.01247,0,1.0425e-06,1.0425e-06,1.0425e-05,1.0425e-05,1.0425e-05
119,5799.61,0.93849,1.62161,0.29372,0.01166,0.59879,0.47324,0.55063,0.51963,0.43042,0.49332,0.53792,0.51138,0.39347,0.95444,1.71383,0.28659,0.01243,0,7.95e-07,7.95e-07,7.95e-06,7.95e-06,7.95e-06
120,5848.19,0.95307,1.62713,0.29229,0.01173,0.59396,0.50594,0.55766,0.51974,0.42794,0.48283,0.54253,0.51086,0.3935,0.95835,1.71636,0.28664,0.01251,0,5.475e-07,5.475e-07,5.475e-06,5.475e-06,5.475e-06
