epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
24,1175.84,1.00004,1.71793,0.3322,0.01287,0.63598,0.59073,0.51765,0.49767,0.38699,0.59052,0.51759,0.49049,0.38123,0.97562,1.77701,0.33076,0.01294,0,2.43075e-05,2.43075e-05,0.000243075,0.000243075,0.000243075
25,1224.5,1.00613,1.72483,0.33585,0.01293,0.6423,0.57507,0.50919,0.49051,0.38532,0.57808,0.50894,0.48488,0.37653,0.97755,1.77097,0.32861,0.01276,0,2.406e-05,2.406e-05,0.0002406,0.0002406,0.0002406
26,1273.2,0.99449,1.733,0.33591,0.01257,0.63419,0.45474,0.51389,0.49449,0.38659,0.45635,0.51767,0.48897,0.37974,0.97185,1.7594,0.32826,0.01278,0,2.38125e-05,2.38125e-05,0.000238125,0.000238125,0.000238125
27,1321.92,0.98696,1.71641,0.33487,0.01231,0.61866,0.45228,0.52095,0.49381,0.38691,0.45472,0.52371,0.49043,0.37988,0.9809,1.75776,0.32136,0.01323,0,2.3565e-05,2.3565e-05,0.00023565,0.00023565,0.00023565
28,1370.59,1.00384,1.71478,0.33198,0.01268,0.62751,0.46141,0.52858,0.49477,0.39065,0.46468,0.53204,0.49186,0.3804,0.97691,1.77047,0.3249,0.01275,0,2.33175e-05,2.33175e-05,0.000233175,0.000233175,0.000233175
29,1419.39,0.98383,1.70846,0.33218,0.01232,0.62272,0.45719,0.52544,0.49297,0.39027,0.46802,0.52074,0.49046,0.37798,0.97434,1.758,0.32231,0.0129,0,2.307e-05,2.307e-05,0.0002307,0.0002307,0.0002307
30,1468.16,0.99111,1.71136,0.33076,0.01247,0.62976,0.46008,0.52188,0.49237,0.38847,0.59171,0.51749,0.48714,0.37559,0.96922,1.76376,0.32379,0.01263,0,2.28225e-05,2.28225e-05,0.000228225,0.000228225,0.000228225
31,1516.94,0.98749,1.72401,0.33217,0.01242,0.62779,0.46206,0.5132,0.49328,0.3898,0.4635,0.5176,0.48964,0.37732,0.97696,1.76768,0.32052,0.01297,0,2.2575e-05,2.2575e-05,0.00022575,0.00022575,0.00022575
32,1565.75,0.98407,1.70142,0.32728,0.01217,0.61958,0.45936,0.53178,0.48961,0.39105,0.4629,0.52682,0.48542,0.37405,0.96998,1.75999,0.32208,0.01265,0,2.23275e-05,2.23275e-05,0.000223275,0.000223275,0.000223275
33,1614.64,0.99504,1.71425,0.33019,0.0125,0.61997,0.46223,0.51313,0.49618,0.39419,0.47107,0.49882,0.48833,0.37482,0.96243,1.76842,0.32011,0.01256,0,2.208e-05,2.208e-05,0.0002208,0.0002208,0.0002208
34,1663.42,0.99159,1.71713,0.33544,0.01253,0.63182,0.45676,0.53156,0.49299,0.38889,0.46135,0.52428,0.48927,0.37624,0.97261,1.78564,0.32134,0.01293,0,2.18325e-05,2.18325e-05,0.000218325,0.000218325,0.000218325
35,1712.25,0.98486,1.71215,0.32787,0.01235,0.62249,0.45466,0.50763,0.48892,0.38843,0.45467,0.49795,0.48373,0.37217,0.97556,1.75979,0.3152,0.01294,0,2.1585e-05,2.1585e-05,0.00021585,0.00021585,0.00021585
36,1761.11,0.98458,1.692,0.32735,0.01238,0.61554,0.45369,0.52802,0.48699,0.39043,0.46188,0.52243,0.48641,0.37317,0.97952,1.79616,0.3143,0.01281,0,2.13375e-05,2.13375e-05,0.000213375,0.000213375,0.000213375
37,1809.94,0.97915,1.70335,0.32872,0.01226,0.62732,0.47271,0.52908,0.49125,0.39089,0.46084,0.52387,0.48562,0.3743,0.96925,1.76295,0.31858,0.01276,0,2.109e-05,2.109e-05,0.0002109,0.0002109,0.0002109
38,1858.75,0.98033,1.67788,0.32533,0.01249,0.61785,0.4933,0.5388,0.49485,0.3955,0.46134,0.52424,0.48717,0.37556,0.97253,1.75234,0.31529,0.01258,0,2.08425e-05,2.08425e-05,0.000208425,0.000208425,0.000208425
39,1907.58,0.97848,1.68612,0.32089,0.01218,0.60782,0.43525,0.52187,0.49141,0.39307,0.45139,0.50338,0.48318,0.37295,0.97328,1.74187,0.31352,0.01274,0,2.0595e-05,2.0595e-05,0.00020595,0.00020595,0.00020595
40,1956.49,0.97798,1.69564,0.32649,0.01247,0.62738,0.47952,0.53159,0.4945,0.3951,0.45091,0.5196,0.48864,0.37545,0.97182,1.74764,0.31408,0.0129,0,2.03475e-05,2.03475e-05,0.000203475,0.000203475,0.000203475
41,2005.3,0.98091,1.69117,0.32248,0.0124,0.62494,0.4898,0.53256,0.49715,0.39837,0.464,0.52191,0.4901,0.37493,0.97212,1.73524,0.31559,0.01303,0,2.01e-05,2.01e-05,0.000201,0.000201,0.000201
42,2054.05,0.97474,1.67765,0.32253,0.01223,0.62465,0.47738,0.50972,0.49659,0.39949,0.44677,0.49476,0.48613,0.37676,0.96161,1.75175,0.31327,0.01261,0,1.98525e-05,1.98525e-05,0.000198525,0.000198525,0.000198525
43,2102.74,0.98352,1.6887,0.31868,0.01239,0.60869,0.49558,0.50776,0.49539,0.40028,0.45902,0.49562,0.48694,0.37474,0.96642,1.74476,0.31097,0.0127,0,1.9605e-05,1.9605e-05,0.00019605,0.00019605,0.00019605
44,2151.43,0.97957,1.69559,0.32104,0.01229,0.60526,0.46292,0.53458,0.4989,0.40398,0.46166,0.52435,0.49269,0.37915,0.95566,1.78018,0.31432,0.01261,0,1.93575e-05,1.93575e-05,0.000193575,0.000193575,0.000193575
45,2200.12,0.97936,1.67568,0.31575,0.01234,0.61411,0.46584,0.5329,0.49679,0.40102,0.46922,0.51253,0.48968,0.37591,0.96533,1.74507,0.30923,0.01268,0,1.911e-05,1.911e-05,0.0001911,0.0001911,0.0001911
46,2248.74,0.97989,1.67764,0.32173,0.01224,0.61093,0.46253,0.51635,0.50078,0.40365,0.46223,0.51059,0.49354,0.38084,0.95576,1.74139,0.31023,0.0126,0,1.88625e-05,1.88625e-05,0.000188625,0.000188625,0.000188625
47,2297.53,0.98748,1.68784,0.32272,0.01238,0.6096,0.45953,0.52925,0.49683,0.40115,0.45843,0.52142,0.48968,0.37683,0.96024,1.73531,0.30998,0.01258,0,1.8615e-05,1.8615e-05,0.00018615,0.00018615,0.00018615
48,2346.18,0.96994,1.68066,0.31688,0.01191,0.61085,0.46571,0.52123,0.49714,0.40219,0.46839,0.5049,0.49069,0.3783,0.96097,1.74095,0.30917,0.01253,0,1.83675e-05,1.83675e-05,0.000183675,0.000183675,0.000183675
49,2394.84,0.97738,1.69402,0.3174,0.01226,0.61964,0.46707,0.52649,0.50314,0.4087,0.4526,0.51849,0.49562,0.38177,0.95515,1.73851,0.31186,0.01254,0,1.812e-05,1.812e-05,0.0001812,0.0001812,0.0001812
50,2443.52,0.98806,1.70035,0.31845,0.0123,0.60566,0.46782,0.52741,0.50111,0.40624,0.47155,0.51045,0.49446,0.38012,0.9546,1.77509,0.31091,0.01253,0,1.78725e-05,1.78725e-05,0.000178725,0.000178725,0.000178725
51,2492.29,0.9894,1.68976,0.31869,0.01237,0.61242,0.5262,0.52927,0.50318,0.40752,0.47336,0.51943,0.49469,0.3815,0.95746,1.77742,0.30377,0.01248,0,1.7625e-05,1.7625e-05,0.00017625,0.00017625,0.00017625
52,2540.93,0.97457,1.69248,0.31681,0.01243,0.61335,0.50052,0.52034,0.50267,0.40875,0.47651,0.50413,0.49521,0.38174,0.95846,1.74144,0.30707,0.01243,0,1.73775e-05,1.73775e-05,0.000173775,0.000173775,0.000173775
53,2589.64,0.96621,1.67282,0.31983,0.0121,0.61893,0.46176,0.52613,0.5025,0.41096,0.46361,0.51996,0.49523,0.38108,0.95677,1.76724,0.30468,0.01247,0,1.713e-05,1.713e-05,0.0001713,0.0001713,0.0001713
54,2638.32,0.97636,1.67761,0.31729,0.01237,0.6101,0.49438,0.53846,0.50098,0.40928,0.46755,0.51678,0.49416,0.38102,0.96017,1.72941,0.30239,0.01265,0,1.68825e-05,1.68825e-05,0.000168825,0.000168825,0.000168825
55,2687.08,0.97942,1.66061,0.31046,0.01232,0.60125,0.46255,0.51466,0.49823,0.40542,0.46879,0.50767,0.49302,0.38056,0.95702,1.72834,0.30491,0.01259,0,1.6635e-05,1.6635e-05,0.00016635,0.00016635,0.00016635
56,2735.73,0.97099,1.67338,0.31466,0.01225,0.61008,0.46048,0.53153,0.50305,0.41255,0.47244,0.51415,0.49776,0.38392,0.94868,1.73282,0.30583,0.01221,0,1.63875e-05,1.63875e-05,0.000163875,0.000163875,0.000163875
57,2784.41,0.97679,1.67902,0.31736,0.01222,0.60207,0.45907,0.51778,0.50164,0.41131,0.46028,0.50514,0.49456,0.38238,0.95014,1.72881,0.30647,0.01239,0,1.614e-05,1.614e-05,0.0001614,0.0001614,0.0001614
58,2833.15,0.96662,1.67237,0.31213,0.012,0.61191,0.46671,0.51917,0.50291,0.41088,0.46627,0.51195,0.4947,0.38305,0.95374,1.7217,0.30284,0.01252,0,1.58925e-05,1.58925e-05,0.000158925,0.000158925,0.000158925
59,2881.86,0.98349,1.65997,0.30986,0.01208,0.60028,0.46646,0.52842,0.50634,0.41357,0.4723,0.5222,0.49802,0.38125,0.95684,1.72634,0.30374,0.01248,0,1.5645e-05,1.5645e-05,0.00015645,0.00015645,0.00015645
60,2930.48,0.97187,1.68428,0.31143,0.01218,0.614,0.49108,0.52556,0.50392,0.41204,0.46719,0.51266,0.49654,0.38255,0.94543,1.7659,0.30517,0.01239,0,1.53975e-05,1.53975e-05,0.000153975,0.000153975,0.000153975
61,2979.19,0.97087,1.66602,0.30816,0.01198,0.60519,0.4683,0.54296,0.50521,0.41417,0.46824,0.52879,0.49736,0.38608,0.95175,1.72834,0.30256,0.01242,0,1.515e-05,1.515e-05,0.0001515,0.0001515,0.0001515
62,3027.96,0.97028,1.67227,0.30923,0.0121,0.60564,0.50619,0.53425,0.50535,0.41277,0.46855,0.52164,0.49762,0.3844,0.95439,1.72718,0.30415,0.01244,0,1.49025e-05,1.49025e-05,0.000149025,0.000149025,0.000149025
63,3076.63,0.97141,1.66955,0.30503,0.01195,0.6046,0.48982,0.5307,0.5057,0.41571,0.47058,0.52267,0.49663,0.38561,0.95547,1.73432,0.30366,0.01243,0,1.4655e-05,1.4655e-05,0.00014655,0.00014655,0.00014655
64,3125.32,0.9649,1.6797,0.31329,0.01178,0.60873,0.46614,0.52581,0.50904,0.41698,0.47263,0.51945,0.49876,0.38681,0.96145,1.72439,0.2977,0.01249,0,1.44075e-05,1.44075e-05,0.000144075,0.000144075,0.000144075
65,3174.09,0.963,1.66193,0.30949,0.01183,0.59606,0.49407,0.52655,0.50702,0.41436,0.48146,0.50878,0.49952,0.38532,0.96873,1.73164,0.29946,0.01283,0,1.416e-05,1.416e-05,0.0001416,0.0001416,0.0001416
66,3222.7,0.9688,1.65475,0.31206,0.01207,0.60877,0.46853,0.5227,0.505,0.41799,0.47893,0.50318,0.49867,0.38568,0.96379,1.72676,0.29916,0.01254,0,1.39125e-05,1.39125e-05,0.000139125,0.000139125,0.000139125
67,3271.32,0.96334,1.64421,0.30653,0.01185,0.59224,0.49644,0.54154,0.51268,0.42123,0.46377,0.52338,0.50257,0.38774,0.95972,1.73397,0.29894,0.01253,0,1.3665e-05,1.3665e-05,0.00013665,0.00013665,0.00013665
68,3320.01,0.96722,1.65566,0.30883,0.01216,0.60897,0.46156,0.53999,0.5075,0.41716,0.46564,0.52525,0.50056,0.38723,0.95531,1.73105,0.29919,0.01245,0,1.34175e-05,1.34175e-05,0.000134175,0.000134175,0.000134175
69,3368.77,0.97176,1.6347,0.30502,0.01222,0.60194,0.47262,0.52609,0.50459,0.417,0.4771,0.52,0.49872,0.38661,0.95415,1.72651,0.30138,0.01246,0,1.317e-05,1.317e-05,0.0001317,0.0001317,0.0001317
70,3417.38,0.96334,1.6499,0.30487,0.01172,0.5931,0.46637,0.52765,0.50809,0.42155,0.47147,0.51696,0.50071,0.38628,0.95186,1.72165,0.29775,0.01246,0,1.29225e-05,1.29225e-05,0.000129225,0.000129225,0.000129225
71,3466.08,0.97421,1.67032,0.31055,0.01237,0.61269,0.47406,0.52742,0.51005,0.4223,0.47844,0.52522,0.50266,0.38901,0.95777,1.71041,0.29438,0.01236,0,1.2675e-05,1.2675e-05,0.00012675,0.00012675,0.00012675
72,3514.79,0.96433,1.63088,0.30107,0.01198,0.59856,0.50187,0.54329,0.5105,0.42062,0.471,0.52685,0.50098,0.38655,0.95069,1.74168,0.29647,0.01238,0,1.24275e-05,1.24275e-05,0.000124275,0.000124275,0.000124275
73,3563.47,0.96281,1.63419,0.30265,0.01203,0.60489,0.5005,0.54345,0.51197,0.42502,0.47532,0.52735,0.50424,0.38806,0.94999,1.72685,0.29672,0.01248,0,1.218e-05,1.218e-05,0.0001218,0.0001218,0.0001218
74,3612.22,0.95602,1.65025,0.30452,0.01196,0.59697,0.46853,0.53389,0.50961,0.42259,0.48285,0.52563,0.50284,0.38937,0.95745,1.72449,0.29665,0.01239,0,1.19325e-05,1.19325e-05,0.000119325,0.000119325,0.000119325
75,3660.93,0.96056,1.65968,0.2989,0.0119,0.5983,0.49121,0.53141,0.51594,0.42773,0.48113,0.52391,0.50876,0.39158,0.9586,1.71756,0.2969,0.01243,0,1.1685e-05,1.1685e-05,0.00011685,0.00011685,0.00011685
76,3709.68,0.95872,1.65977,0.30754,0.01207,0.60356,0.50846,0.54433,0.50618,0.41927,0.47686,0.52724,0.50009,0.38448,0.94886,1.72257,0.29853,0.01236,0,1.14375e-05,1.14375e-05,0.000114375,0.000114375,0.000114375
77,3758.32,0.9554,1.66136,0.30361,0.0121,0.61121,0.48547,0.54265,0.51182,0.42359,0.49054,0.53425,0.50553,0.3884,0.96102,1.72871,0.29337,0.01253,0,1.119e-05,1.119e-05,0.0001119,0.0001119,0.0001119
78,3806.92,0.95848,1.62545,0.29826,0.01185,0.5963,0.48723,0.53164,0.5137,0.424,0.48837,0.52893,0.50715,0.39017,0.95722,1.71451,0.29662,0.01247,0,1.09425e-05,1.09425e-05,0.000109425,0.000109425,0.000109425
