epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,42309.9,1.53384,2.84685,2.53636,0.01976,1.39829,0.45121,0.39846,0.3807,0.23989,0.43793,0.37902,0.35229,0.22236,1.59376,2.65047,2.33165,0.02802,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,44138.8,1.53172,2.8298,2.52918,0.01979,1.40522,0.45238,0.41335,0.38412,0.24342,0.44884,0.38792,0.35821,0.22429,1.58456,2.65027,2.30868,0.02787,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,45966.8,1.52732,2.81246,2.50472,0.01965,1.39795,0.46512,0.40795,0.39116,0.24784,0.46109,0.38472,0.36226,0.22927,1.58223,2.63866,2.29815,0.02784,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,47791.6,1.52344,2.81943,2.49993,0.01949,1.39652,0.47266,0.41566,0.3963,0.24895,0.47041,0.39233,0.37024,0.22986,1.58483,2.62388,2.27525,0.0279,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,49614,1.51878,2.79025,2.47926,0.01944,1.37526,0.46833,0.4091,0.39641,0.24733,0.45292,0.39185,0.36914,0.22857,1.57771,2.61889,2.27781,0.02778,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,51436,1.51128,2.77841,2.45432,0.01934,1.36518,0.48516,0.41488,0.40034,0.2515,0.47698,0.39952,0.37523,0.2324,1.57332,2.59779,2.26431,0.02763,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,53257.7,1.51294,2.77275,2.45708,0.01927,1.35585,0.4853,0.41741,0.40479,0.25313,0.47993,0.40244,0.37853,0.2345,1.56624,2.59473,2.25297,0.02738,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,55082.6,1.49908,2.76306,2.44195,0.01908,1.34501,0.49282,0.41878,0.40745,0.25431,0.47708,0.40003,0.37909,0.23543,1.56727,2.58739,2.24682,0.02743,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,56910.2,1.49432,2.74541,2.42384,0.01909,1.33733,0.50778,0.41412,0.41136,0.25821,0.49737,0.3944,0.38306,0.23901,1.56425,2.59125,2.23302,0.02736,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,58735.4,1.49263,2.73201,2.41824,0.01906,1.33248,0.50103,0.41881,0.41288,0.26061,0.48622,0.40048,0.38392,0.23995,1.55586,2.57747,2.22912,0.02716,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
