epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3674.97,0.93035,1.07008,0.58421,0.00795,0.42362,0.83861,0.82179,0.86269,0.62544,0.84769,0.81566,0.86022,0.59912,1.02587,1.42252,0.69262,0.00978,0,0.0007327,0.0007327,0.0007327
29,22284.1,0.93137,1.06622,0.57944,0.00783,0.43578,0.81751,0.81427,0.85459,0.61981,0.81815,0.8218,0.85324,0.59291,1.0127,1.43944,0.73845,0.00947,0,0.0007228,0.0007228,0.0007228
30,22294.8,0.90983,1.04235,0.55106,0.0076,0.3987,0.86861,0.79609,0.87268,0.64333,0.8454,0.82616,0.86467,0.61096,0.99749,1.40885,0.70004,0.00939,0,0.0007129,0.0007129,0.0007129
31,22305.6,0.90537,1.02639,0.54225,0.00756,0.39448,0.80536,0.81845,0.86018,0.632,0.82712,0.81834,0.86454,0.60913,1.00703,1.44023,0.69882,0.00947,0,0.000703,0.000703,0.000703
32,22316.2,0.89479,1.0266,0.53407,0.00754,0.38378,0.84976,0.82886,0.86917,0.64356,0.85401,0.82331,0.86397,0.61198,0.99693,1.40043,0.69174,0.00956,0,0.0006931,0.0006931,0.0006931
33,22327,0.88532,1.0099,0.52585,0.00742,0.38009,0.86256,0.8198,0.86213,0.63501,0.87405,0.82668,0.86323,0.61287,1.00188,1.38762,0.68179,0.00963,0,0.0006832,0.0006832,0.0006832
34,22337.7,0.88071,0.98663,0.51036,0.0074,0.36748,0.83243,0.83376,0.86963,0.64347,0.85032,0.82642,0.86682,0.61483,0.9952,1.38915,0.692,0.00932,0,0.0006733,0.0006733,0.0006733
35,22348.5,0.86378,0.97818,0.51299,0.00728,0.36771,0.83923,0.84611,0.86608,0.63689,0.84354,0.85602,0.86995,0.60897,1.00672,1.40102,0.69071,0.00936,0,0.0006634,0.0006634,0.0006634
36,22359.1,0.85187,0.97526,0.50104,0.00707,0.36467,0.84253,0.82018,0.87169,0.64539,0.85293,0.82823,0.87754,0.62103,0.97496,1.45241,0.67594,0.009,0,0.0006535,0.0006535,0.0006535
37,22369.8,0.85958,0.98674,0.50146,0.00702,0.36454,0.85871,0.82701,0.87503,0.64819,0.86609,0.81964,0.8685,0.61668,0.98418,1.41169,0.67334,0.00919,0,0.0006436,0.0006436,0.0006436
38,22380.3,0.85077,0.9578,0.4905,0.00698,0.34978,0.83954,0.84547,0.87152,0.64765,0.86617,0.83164,0.8775,0.61827,0.97829,1.39189,0.66215,0.00898,0,0.0006337,0.0006337,0.0006337
39,22391.7,0.83917,0.95483,0.47191,0.00689,0.34472,0.85837,0.82164,0.86632,0.6447,0.87231,0.83233,0.86842,0.61238,0.98894,1.3911,0.66948,0.00916,0,0.0006238,0.0006238,0.0006238
40,22403.4,0.84083,0.95028,0.47145,0.00676,0.33964,0.87119,0.81099,0.87368,0.64372,0.87313,0.82884,0.87198,0.61337,0.97796,1.42143,0.68303,0.00897,0,0.0006139,0.0006139,0.0006139
41,22414.5,0.83607,0.95128,0.48298,0.00678,0.34543,0.85845,0.82186,0.87087,0.64324,0.85807,0.84719,0.88214,0.62268,0.99489,1.44789,0.66588,0.00935,0,0.000604,0.000604,0.000604
42,22425.6,0.82916,0.92907,0.47,0.00667,0.33201,0.85608,0.84148,0.88022,0.64293,0.86661,0.82951,0.87028,0.61255,0.99506,1.46518,0.67169,0.00931,0,0.0005941,0.0005941,0.0005941
43,22436.2,0.82849,0.93443,0.45833,0.00672,0.33593,0.86059,0.82019,0.87244,0.64171,0.87643,0.82873,0.8763,0.61851,0.99374,1.43794,0.6812,0.00929,0,0.0005842,0.0005842,0.0005842
44,22446.7,0.82277,0.92392,0.46075,0.00668,0.32354,0.8523,0.84667,0.87917,0.65301,0.86929,0.84288,0.87872,0.62155,0.96231,1.43149,0.67042,0.00897,0,0.0005743,0.0005743,0.0005743
45,22457.4,0.8212,0.92177,0.45357,0.00671,0.32082,0.87399,0.81173,0.87586,0.64287,0.86348,0.81997,0.87033,0.61792,0.97846,1.41175,0.6932,0.00903,0,0.0005644,0.0005644,0.0005644
46,22469.3,0.80755,0.90761,0.43869,0.0067,0.30675,0.87599,0.81767,0.87624,0.65437,0.8846,0.82172,0.87163,0.61819,0.96434,1.45896,0.66995,0.00895,0,0.0005545,0.0005545,0.0005545
47,22480.7,0.79457,0.8927,0.43421,0.00648,0.30267,0.88009,0.82753,0.8801,0.65224,0.8939,0.82944,0.87892,0.62352,0.97344,1.46713,0.68041,0.00903,0,0.0005446,0.0005446,0.0005446
48,22492,0.79162,0.88805,0.4296,0.0062,0.29902,0.89295,0.81455,0.88208,0.65591,0.90083,0.82431,0.88115,0.62256,0.96253,1.43296,0.68294,0.00878,0,0.0005347,0.0005347,0.0005347
49,22502.9,0.78095,0.89365,0.42434,0.00622,0.29924,0.85025,0.83268,0.87501,0.64983,0.8552,0.82963,0.86979,0.61384,0.96714,1.47881,0.67907,0.00891,0,0.0005248,0.0005248,0.0005248
50,22513.7,0.79066,0.87929,0.42619,0.00636,0.29976,0.85618,0.84126,0.87737,0.65473,0.87109,0.8434,0.88275,0.62258,0.96721,1.44929,0.65726,0.0089,0,0.0005149,0.0005149,0.0005149
51,22524.3,0.78078,0.88013,0.41278,0.00623,0.29286,0.85559,0.84582,0.87998,0.65793,0.85713,0.85027,0.8853,0.62211,0.96564,1.45971,0.65559,0.00876,0,0.000505,0.000505,0.000505
52,22535,0.77785,0.87296,0.40013,0.00613,0.28793,0.86091,0.84063,0.88099,0.65951,0.86584,0.83575,0.87748,0.61997,0.96257,1.44564,0.6686,0.00884,0,0.0004951,0.0004951,0.0004951
53,22545.6,0.77139,0.86988,0.41059,0.00604,0.2924,0.87494,0.82944,0.87805,0.65162,0.87195,0.83912,0.87689,0.61537,0.96202,1.47567,0.67174,0.00881,0,0.0004852,0.0004852,0.0004852
54,22556.2,0.75975,0.86994,0.40472,0.0059,0.28814,0.8586,0.83967,0.87799,0.65359,0.86064,0.8407,0.87335,0.61423,0.96974,1.46482,0.6818,0.00898,0,0.0004753,0.0004753,0.0004753
55,22566.8,0.76254,0.85458,0.40301,0.00589,0.28493,0.87455,0.83032,0.88575,0.66033,0.87926,0.82813,0.87641,0.62521,0.97398,1.49943,0.64859,0.00907,0,0.0004654,0.0004654,0.0004654
56,22577.5,0.75265,0.84433,0.38843,0.00594,0.27865,0.86239,0.85895,0.88386,0.65557,0.86402,0.85616,0.8769,0.62405,0.97539,1.48753,0.65687,0.00905,0,0.0004555,0.0004555,0.0004555
57,22588.1,0.74244,0.83868,0.38834,0.0058,0.27489,0.85992,0.84539,0.88251,0.66221,0.86715,0.85444,0.88598,0.62989,0.95791,1.45837,0.67316,0.00869,0,0.0004456,0.0004456,0.0004456
58,22598.9,0.74185,0.83014,0.38014,0.00587,0.26565,0.85906,0.8457,0.882,0.66253,0.88228,0.8475,0.88388,0.62586,0.95733,1.46866,0.67306,0.00885,0,0.0004357,0.0004357,0.0004357
59,22609.5,0.74378,0.83628,0.3784,0.00575,0.26297,0.86868,0.83585,0.87788,0.65894,0.88397,0.83401,0.88037,0.62036,0.9747,1.47459,0.64875,0.00907,0,0.0004258,0.0004258,0.0004258
60,22620,0.72793,0.82014,0.37326,0.00567,0.26541,0.87539,0.82888,0.876,0.65914,0.87871,0.83955,0.87821,0.62544,0.96822,1.53443,0.67197,0.0089,0,0.0004159,0.0004159,0.0004159
61,22630.7,0.72908,0.80563,0.37293,0.00568,0.26302,0.8718,0.8378,0.88315,0.65637,0.87497,0.83628,0.87759,0.62134,0.98553,1.509,0.64919,0.00907,0,0.000406,0.000406,0.000406
62,22641.3,0.72566,0.81823,0.372,0.0056,0.26177,0.88245,0.83003,0.8784,0.65626,0.88403,0.83085,0.87503,0.6228,0.96342,1.49298,0.66654,0.00886,0,0.0003961,0.0003961,0.0003961
63,22651.8,0.7117,0.80745,0.36426,0.00551,0.25684,0.86441,0.82367,0.87766,0.65996,0.87709,0.82531,0.87908,0.62326,0.95606,1.4787,0.64443,0.0087,0,0.0003862,0.0003862,0.0003862
64,22662.4,0.71758,0.80659,0.36366,0.00549,0.25934,0.86214,0.83655,0.8692,0.65247,0.8669,0.84836,0.8741,0.61817,0.95801,1.48334,0.68439,0.00869,0,0.0003763,0.0003763,0.0003763
65,22673,0.7217,0.79761,0.35538,0.00552,0.25697,0.87139,0.8391,0.87645,0.66101,0.88688,0.83648,0.8759,0.62003,0.95069,1.50446,0.64793,0.00857,0,0.0003664,0.0003664,0.0003664
66,22683.6,0.71531,0.7902,0.35808,0.00546,0.24781,0.86916,0.84574,0.87775,0.65707,0.89223,0.83175,0.88081,0.62611,0.953,1.50333,0.65688,0.00882,0,0.0003565,0.0003565,0.0003565
67,22694.2,0.69979,0.78279,0.34267,0.00534,0.24977,0.85661,0.85635,0.88683,0.66736,0.87121,0.84623,0.88463,0.63017,0.93734,1.49445,0.64156,0.00851,0,0.0003466,0.0003466,0.0003466
68,22704.9,0.69534,0.78022,0.33721,0.00534,0.2449,0.886,0.84631,0.87966,0.65696,0.89291,0.85231,0.87943,0.6222,0.95676,1.52684,0.64563,0.00874,0,0.0003367,0.0003367,0.0003367
69,22715.5,0.68291,0.78116,0.32898,0.00519,0.23903,0.88187,0.83794,0.88099,0.66438,0.88827,0.84289,0.88237,0.62712,0.94829,1.55707,0.64086,0.00866,0,0.0003268,0.0003268,0.0003268
70,22726.1,0.68806,0.77043,0.32831,0.00511,0.23698,0.88059,0.85353,0.88585,0.66252,0.87862,0.85052,0.87841,0.62689,0.95733,1.54755,0.63567,0.0087,0,0.0003169,0.0003169,0.0003169
71,22736.7,0.68495,0.77023,0.3286,0.0052,0.23422,0.85749,0.86283,0.87751,0.65938,0.86106,0.86319,0.87806,0.62488,0.9587,1.59642,0.64474,0.00881,0,0.000307,0.000307,0.000307
72,22747.2,0.67148,0.7576,0.32472,0.00519,0.23439,0.87483,0.84217,0.87546,0.65781,0.8878,0.82714,0.86965,0.61999,0.95659,1.59482,0.65203,0.00877,0,0.0002971,0.0002971,0.0002971
73,22758.2,0.66476,0.75433,0.31924,0.00506,0.22917,0.86969,0.85174,0.88165,0.6604,0.87776,0.83266,0.87063,0.62486,0.96762,1.5159,0.63613,0.00881,0,0.0002872,0.0002872,0.0002872
74,22770.1,0.66382,0.73719,0.30795,0.00513,0.22572,0.89371,0.83355,0.87864,0.66398,0.89355,0.83486,0.8751,0.62762,0.94712,1.57338,0.64083,0.0086,0,0.0002773,0.0002773,0.0002773
75,22781.3,0.65501,0.74111,0.30679,0.00492,0.22025,0.87271,0.84166,0.87742,0.66299,0.87762,0.84479,0.87295,0.62316,0.956,1.58948,0.65103,0.00871,0,0.0002674,0.0002674,0.0002674
76,22792.4,0.6468,0.73897,0.30357,0.00488,0.22137,0.87197,0.83846,0.87586,0.65865,0.89394,0.83262,0.87692,0.62538,0.94666,1.58612,0.66062,0.0086,0,0.0002575,0.0002575,0.0002575
77,22803,0.65542,0.73861,0.31261,0.00493,0.22187,0.87539,0.83706,0.87289,0.66019,0.88454,0.84168,0.87519,0.62571,0.95208,1.57107,0.63655,0.00865,0,0.0002476,0.0002476,0.0002476
78,22813.6,0.64406,0.73066,0.29712,0.00486,0.21583,0.87445,0.84234,0.87704,0.66053,0.91128,0.82965,0.88141,0.62988,0.95624,1.55171,0.63923,0.00877,0,0.0002377,0.0002377,0.0002377
79,22824.2,0.64574,0.73495,0.30352,0.00477,0.21761,0.89434,0.8305,0.87617,0.66237,0.8897,0.84201,0.87847,0.62491,0.9543,1.54907,0.63994,0.00874,0,0.0002278,0.0002278,0.0002278
80,22834.9,0.63667,0.72049,0.29484,0.00478,0.21272,0.88554,0.83437,0.87662,0.66096,0.89435,0.83508,0.87673,0.62603,0.94273,1.53812,0.65164,0.00857,0,0.0002179,0.0002179,0.0002179
81,22845.7,0.63323,0.71513,0.29045,0.00466,0.21395,0.86833,0.84548,0.87626,0.66156,0.87483,0.84081,0.87475,0.62754,0.94515,1.59838,0.64243,0.00863,0,0.000208,0.000208,0.000208
82,22856.3,0.62605,0.72148,0.28814,0.00464,0.21129,0.8701,0.85379,0.87506,0.66143,0.87616,0.85577,0.87386,0.62432,0.94283,1.60842,0.66194,0.00856,0,0.0001981,0.0001981,0.0001981
83,22866.9,0.62131,0.71229,0.28438,0.00456,0.2101,0.88175,0.83877,0.88034,0.66382,0.89819,0.83099,0.8818,0.62912,0.94981,1.58794,0.65843,0.00866,0,0.0001882,0.0001882,0.0001882
84,22877.4,0.62353,0.70813,0.28107,0.00459,0.20871,0.86308,0.84835,0.87662,0.66476,0.90168,0.82783,0.88154,0.62728,0.9531,1.59927,0.6517,0.00872,0,0.0001783,0.0001783,0.0001783
85,22888,0.62189,0.71295,0.28358,0.00456,0.20611,0.86757,0.85533,0.87896,0.66525,0.8788,0.85764,0.88018,0.62927,0.95273,1.59699,0.64778,0.00872,0,0.0001684,0.0001684,0.0001684
86,22898.6,0.61997,0.70117,0.28191,0.00456,0.20389,0.86194,0.86391,0.87852,0.66348,0.89475,0.8439,0.87936,0.62817,0.95452,1.59151,0.65919,0.00876,0,0.0001585,0.0001585,0.0001585
87,22909.2,0.61136,0.70191,0.27493,0.00446,0.20114,0.89936,0.83622,0.8761,0.6597,0.90489,0.8385,0.87853,0.62874,0.94988,1.60883,0.65207,0.00871,0,0.0001486,0.0001486,0.0001486
