epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,5257.72,1.71307,2.56498,1.97938,0.01422,0.84638,0.62823,0.43773,0.44709,0.26804,0.6287,0.43011,0.4389,0.28975,1.64858,2.34027,1.84496,0.02813,0,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,5494.71,1.70122,2.53065,1.98302,0.01401,0.84466,0.46067,0.46934,0.44803,0.26068,0.49581,0.45045,0.44069,0.28928,1.68749,2.37495,1.92406,0.02968,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5731.09,1.71088,2.53918,1.96301,0.01391,0.83393,0.67196,0.43913,0.45548,0.2684,0.68641,0.42557,0.44647,0.28594,1.66913,2.37798,1.86405,0.02879,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,5968.58,1.70858,2.49346,1.93841,0.0143,0.80807,0.4694,0.45452,0.44635,0.26332,0.48016,0.43749,0.43462,0.28581,1.68899,2.36312,1.8197,0.02901,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,6205.53,1.69992,2.51471,1.9141,0.01389,0.81635,0.61446,0.46402,0.45892,0.27955,0.62276,0.46111,0.45521,0.29988,1.65135,2.36379,1.84831,0.02798,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,6441.8,1.68073,2.48955,1.91515,0.01399,0.8087,0.50992,0.45356,0.45543,0.27741,0.51778,0.45555,0.45116,0.29399,1.64056,2.36816,1.85964,0.02813,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,6679.55,1.66734,2.47151,1.8864,0.0134,0.79783,0.49345,0.4557,0.45553,0.27394,0.54929,0.42563,0.44844,0.29301,1.63954,2.35176,1.82951,0.02779,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6915.85,1.65908,2.4496,1.88287,0.01361,0.8018,0.53377,0.44572,0.45892,0.26286,0.5849,0.45163,0.45576,0.2922,1.67026,2.34911,1.83588,0.02873,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,7152.34,1.67057,2.45671,1.86498,0.01375,0.79848,0.6389,0.44767,0.44512,0.2602,0.63632,0.43893,0.43549,0.28323,1.67381,2.39331,1.83207,0.02912,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,7389.49,1.64869,2.42968,1.82621,0.01383,0.7905,0.64236,0.45059,0.46381,0.27427,0.63906,0.44552,0.45193,0.29171,1.6631,2.36304,1.82087,0.02864,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
