epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1668.81,1.38155,2.73874,0.52321,0.02018,0.94976,0.13052,0.17408,0.09993,0.05226,0.13394,0.18897,0.09895,0.05568,1.32165,2.76946,0.55682,0.01779,0,0.000684559,0.000684559,0.000684559
29,1727.35,1.35549,2.65202,0.52323,0.01904,0.93458,0.13378,0.2062,0.10013,0.04702,0.14276,0.22516,0.10304,0.05056,1.31757,2.6901,0.54229,0.01782,0,0.000679062,0.000679062,0.000679062
30,1785.11,1.34854,2.63922,0.50968,0.01901,0.93457,0.15711,0.21858,0.12349,0.06489,0.17231,0.22,0.12892,0.07125,1.27313,2.61878,0.53305,0.017,0,0.000673564,0.000673564,0.000673564
31,1841.33,1.35324,2.67133,0.50779,0.01923,0.93091,0.13172,0.19465,0.11674,0.05902,0.14015,0.20516,0.11849,0.06131,1.23903,2.59339,0.53946,0.01643,0,0.000668066,0.000668066,0.000668066
32,1899.72,1.34937,2.64456,0.50937,0.01915,0.91176,0.14162,0.16742,0.11757,0.06267,0.16507,0.17623,0.12171,0.06559,1.24326,2.62522,0.53513,0.01626,0,0.000662568,0.000662568,0.000662568
33,1955.79,1.36142,2.67935,0.49617,0.01937,0.92077,0.13445,0.25529,0.12068,0.06567,0.13528,0.25545,0.11838,0.06641,1.26173,2.63031,0.52931,0.01678,0,0.00065707,0.00065707,0.00065707
34,2012.6,1.32661,2.60452,0.50496,0.01861,0.91172,0.18421,0.26465,0.12393,0.06676,0.17759,0.27078,0.1262,0.07127,1.24487,2.57397,0.52924,0.016,0,0.000651573,0.000651573,0.000651573
35,2071.82,1.34836,2.6317,0.50659,0.0197,0.90184,0.15845,0.27225,0.15193,0.07321,0.15991,0.26975,0.14554,0.07916,1.25384,2.57479,0.53018,0.01692,0,0.000646075,0.000646075,0.000646075
36,2124.25,1.35329,2.60875,0.49654,0.02,0.8839,0.16952,0.24596,0.12045,0.06067,0.16279,0.2536,0.11721,0.06037,1.21616,2.61551,0.53812,0.01623,0,0.000640577,0.000640577,0.000640577
37,2177.55,1.33126,2.59687,0.48932,0.01839,0.88413,0.13731,0.22817,0.11489,0.05991,0.1505,0.20962,0.11306,0.06231,1.21128,2.61599,0.54147,0.01577,0,0.000635079,0.000635079,0.000635079
38,2234.35,1.32154,2.58299,0.49557,0.0192,0.87933,0.17753,0.20991,0.13335,0.07459,0.17848,0.2074,0.13207,0.07211,1.20885,2.57543,0.53445,0.01602,0,0.000629581,0.000629581,0.000629581
39,2288.7,1.2869,2.54125,0.50505,0.01812,0.86687,0.1447,0.22744,0.11899,0.06496,0.14667,0.21723,0.11855,0.06718,1.22135,2.60457,0.544,0.01645,0,0.000624084,0.000624084,0.000624084
40,2343.59,1.33119,2.57347,0.49532,0.01889,0.87546,0.23119,0.20401,0.13847,0.07637,0.22898,0.20887,0.13911,0.08341,1.25066,2.67259,0.53627,0.01682,0,0.000618586,0.000618586,0.000618586
41,2400.12,1.28177,2.49933,0.49507,0.01792,0.85355,0.19055,0.249,0.15008,0.08741,0.17915,0.2612,0.15094,0.09143,1.18427,2.55399,0.53262,0.0153,0,0.000613088,0.000613088,0.000613088
42,2454.72,1.34508,2.56005,0.47895,0.01967,0.85399,0.17532,0.24618,0.16139,0.08626,0.16792,0.24494,0.15878,0.09084,1.21255,2.61843,0.5294,0.01593,0,0.00060759,0.00060759,0.00060759
43,2507.24,1.32154,2.57424,0.48597,0.01942,0.82565,0.17452,0.26763,0.15605,0.08836,0.18255,0.27822,0.16074,0.09171,1.18971,2.56913,0.52582,0.0155,0,0.000602092,0.000602092,0.000602092
44,2563.32,1.27911,2.48911,0.48965,0.01802,0.81695,0.20541,0.21294,0.15299,0.08822,0.19634,0.21344,0.14726,0.08975,1.1988,2.57806,0.52815,0.01538,0,0.000596595,0.000596595,0.000596595
45,2617.06,1.25813,2.48477,0.47983,0.01725,0.81627,0.17804,0.29035,0.14888,0.08524,0.17394,0.27731,0.14619,0.09029,1.18234,2.5766,0.51805,0.01554,0,0.000591097,0.000591097,0.000591097
